,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
94,kudahuvadhoo,2.67,72.89,84.83,78.0,100.0,16.69,MV
95,ponta delgada,37.73,-25.67,62.6,88.0,75.0,14.99,PT
97,necochea,-38.55,-58.74,55.99,68.0,36.0,13.0,AR
98,pisco,-13.7,-76.22,66.54,72.0,20.0,8.05,PE
99,shingu,33.73,135.98,61.72,87.0,100.0,5.28,JP
100,huntsville,34.73,-86.59,66.88,93.0,90.0,8.05,US
101,forres,57.61,-3.61,58.53,54.0,100.0,24.16,GB
102,east london,-33.02,27.91,69.55,82.0,1.0,10.56,ZA
103,almenara,-16.18,-40.69,84.34,58.0,52.0,2.35,BR
104,broome,42.25,-75.83,71.83,60.0,90.0,8.05,US
105,saskylakh,71.92,114.08,44.02,91.0,100.0,6.42,RU
106,nikolskoye,59.7,30.79,51.17,30.0,45.0,11.18,RU
108,chicama,-7.84,-79.15,73.56,63.0,74.0,8.05,PE
109,port said,31.26,32.28,75.2,73.0,40.0,11.41,EG
110,maceio,-9.67,-35.74,84.2,74.0,40.0,12.75,BR
111,copperas cove,31.12,-97.9,83.44,69.0,75.0,17.22,US
112,port elizabeth,-33.92,25.57,62.6,88.0,0.0,2.24,ZA
113,yarim,14.3,44.38,57.2,86.0,100.0,5.7,YE
114,vao,-22.67,167.48,71.91,66.0,98.0,11.7,NC
115,palmer,42.16,-72.33,75.65,44.0,20.0,5.82,US
116,port alfred,-33.59,26.89,64.99,94.0,1.0,1.01,ZA
117,linjiang,41.81,126.91,50.07,87.0,93.0,2.53,CN
118,bredasdorp,-34.53,20.04,62.6,55.0,0.0,9.17,ZA
119,vardo,70.37,31.11,39.34,86.0,11.0,9.22,NO
120,castro,-24.79,-50.01,67.75,77.0,100.0,13.87,BR
121,lata,40.16,-8.33,73.74,72.0,42.0,7.0,PT
122,bengkulu,-3.8,102.27,78.24,84.0,96.0,4.07,ID
123,pevek,69.7,170.31,26.56,97.0,57.0,2.46,RU
124,avera,33.19,-82.53,81.64,69.0,40.0,6.93,US
125,alibag,18.64,72.88,86.0,79.0,20.0,6.93,IN
126,severnyy,50.68,36.55,50.0,61.0,75.0,4.47,RU
127,doba,8.65,16.85,87.87,43.0,0.0,2.68,TD
128,lagoa,39.05,-27.98,58.08,76.0,88.0,7.63,PT
129,dikson,73.51,80.55,41.97,91.0,100.0,13.4,RU
130,poitiers,46.58,0.33,74.03,69.0,90.0,12.75,FR
132,san roque,36.21,-5.38,75.2,64.0,20.0,6.93,ES
133,dingle,11.0,122.67,79.9,85.0,100.0,1.72,PH
135,george,-33.96,22.46,59.0,82.0,40.0,3.36,ZA
136,pucallpa,-8.38,-74.55,95.59,43.0,92.0,1.97,PE
137,port macquarie,-31.43,152.92,50.09,73.0,2.0,13.27,AU
138,meadow lake,34.8,-106.54,70.52,10.0,40.0,5.82,US
140,nishihara,26.18,127.76,73.31,83.0,90.0,11.41,JP
143,geraldton,-28.77,114.6,55.4,43.0,0.0,9.17,AU
144,mount isa,-20.73,139.5,50.0,66.0,40.0,9.17,AU
145,kingston,18.0,-76.79,87.46,70.0,75.0,21.92,JM
147,tromso,69.65,18.96,48.2,42.0,82.0,19.46,NO
148,tsumeb,-19.23,17.72,63.18,29.0,0.0,7.52,NA
149,jerome,42.72,-114.52,41.59,93.0,90.0,12.75,US
150,hermosillo,29.07,-110.97,84.88,13.0,5.0,5.82,MX
151,oriximina,-1.77,-55.87,88.61,63.0,45.0,6.38,BR
153,sibolga,1.74,98.78,78.8,82.0,100.0,3.09,ID
154,vila franca do campo,37.72,-25.43,62.6,88.0,75.0,14.99,PT
155,vaini,-21.2,-175.2,62.6,100.0,40.0,10.54,TO
156,okakarara,-20.58,17.43,59.81,34.0,0.0,6.29,NA
157,ossora,59.24,163.07,34.11,84.0,100.0,7.05,RU
158,quthing,-30.4,27.7,51.08,49.0,0.0,0.54,LS
159,ribeira grande,38.52,-28.7,62.6,72.0,20.0,9.17,PT
160,lebu,-37.62,-73.65,56.25,44.0,47.0,4.68,CL
161,namibe,-15.2,12.15,78.66,62.0,0.0,7.07,AO
162,bayji,34.93,43.49,97.32,10.0,0.0,3.89,IQ
163,shahreza,32.03,51.88,73.78,22.0,0.0,2.66,IR
164,inhambane,-23.86,35.38,70.25,79.0,18.0,6.71,MZ
165,vila,42.03,-8.16,73.99,70.0,58.0,10.0,PT
166,waipawa,-41.41,175.52,50.85,81.0,64.0,11.41,NZ
167,hithadhoo,-0.6,73.08,85.08,76.0,100.0,13.35,MV
168,fortuna,40.6,-124.16,56.68,62.0,75.0,19.46,US
171,puerto ayora,-0.74,-90.35,78.98,69.0,20.0,21.92,EC
172,balabac,7.99,117.06,84.36,78.0,98.0,9.75,PH
173,kaitangata,-46.28,169.85,52.0,67.0,23.0,11.99,NZ
174,bethel,41.37,-73.41,73.87,56.0,40.0,8.05,US
175,gorontalo,0.54,123.06,76.6,88.0,79.0,2.57,ID
176,gulbene,57.18,26.75,50.81,55.0,34.0,6.8,LV
177,misratah,32.38,15.09,70.99,68.0,17.0,14.99,LY
178,alice springs,-23.7,133.88,37.4,59.0,0.0,5.82,AU
179,north bend,43.41,-124.22,51.96,81.0,90.0,6.93,US
180,maumere,-8.62,122.21,79.75,77.0,88.0,2.91,ID
181,ambon,-3.7,128.18,80.96,83.0,80.0,7.31,ID
182,talnakh,69.49,88.4,57.2,50.0,31.0,13.42,RU
183,sredniy ikorets,51.07,39.76,49.6,66.0,67.0,4.81,RU
184,camacha,33.08,-16.33,69.8,73.0,75.0,14.99,PT
185,port hardy,50.7,-127.42,51.8,76.0,90.0,5.82,CA
186,mogadishu,2.04,45.34,81.19,79.0,67.0,16.93,SO
